id,meigara,code,uriagetuuki1,uriagetuuki2,riekituuki1,riekituuki2,epstuuki1,epstuuki2,uriageshihanki1,uriageshihanki2,uriageshihanki3,riekishihanki1,riekishihanki2,riekishihanki3,epsshihanki1,epsshihanki2,epsshihanki3
3007,ジェコー,7768,94.45,110.75,2.5,97.86,-82.52,87.81,114.0,102.93,62.14,-521.43,-77.08,-1467.39,-45.07,-120.4,-1027.64
3009,日本精密,7771,89.51,102.02,231.03,-235.14,303.81,-74.88,79.42,60.59,59.02,243.33,3600.0,-1022.22,266.03,210.43,225.25
3010,ジャパン・ティッシュ・エンジニアリング,7774,97.96,103.79,67.34,-165.4,86.11,-146.35,89.46,98.0,87.07,150.0,112.64,94.57,151.11,111.68,94.93
3011,大研医器,7775,101.39,97.91,95.6,82.99,102.99,85.97,99.64,90.42,87.02,100.25,102.35,61.61,100.62,118.07,58.57
3013,スリー・ディー・マトリックス,7777,204.88,143.86,111.87,120.97,106.11,119.87,122.63,150.29,148.23,109.39,89.33,95.2,51.8,79.56,38.12
3014,ＣＹＢＥＲＤＹＮＥ,7779,104.86,98.9,125.18,125.95,24.15,93.93,102.49,101.16,91.35,85.0,63.77,132.95,-86.96,-111.29,-83.33
3015,メニコン,7780,104.48,105.51,126.24,126.79,110.45,134.31,106.73,97.94,95.9,159.33,93.18,106.61,167.08,97.36,104.34
3016,メニコン,7781,110.22,153.32,188.12,94.39,81.59,51.67,0.0,95.19,89.58,0.0,102.48,0.0,0.0,-158.2,433.88
3019,メニコン,7803,102.56,111.37,88.62,104.4,73.07,109.78,0.0,99.25,108.01,0.0,23.3,-6.82,0.0,-5.79,-23.78
3023,幸和製作所,7807,132.39,88.87,48.16,-48.4,98.81,-87.0,102.62,84.63,69.76,-397.56,1036.36,50.0,-35.57,457.81,18.5
3024,幸和製作所,7808,199.47,51.85,275.26,62.08,341.53,51.01,0.0,103.69,94.58,0.0,116.67,113.51,0.0,122.27,148.89
3025,幸和製作所,7809,88.91,94.13,83.82,40.0,55.66,31.5,0.0,119.98,115.88,0.0,682.61,-83.51,0.0,883.61,-79.09
3026,幸和製作所,7810,66.53,85.97,-677.05,26.07,-4460.98,11.68,0.0,84.26,74.21,0.0,-1166.67,-142.55,0.0,-573.77,-176.72
